step,eval_avg_return,alpha,epsilon,seed,algo,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,target_entropy_ratio,min_alpha,max_alpha
0,-172.70917522903903,,1.0,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
5000,-172.70917522903903,,0.9525,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
10000,-181.85954766707704,,0.905,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
15000,11.652865402985649,,0.8575,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
20000,-64.92287033079263,,0.81,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
25000,-139.70223427713,,0.7625,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
30000,-163.0757954363305,,0.7150000000000001,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
35000,-176.88365879187884,,0.6675,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
40000,-192.73748740686563,,0.62,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
45000,-180.395001818298,,0.5725,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
50000,-201.45566710183454,,0.525,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
55000,-181.34714254602255,,0.47750000000000004,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
60000,-171.86271660333503,,0.43000000000000005,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
65000,-162.3966441280018,,0.38250000000000006,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
70000,-125.87545777843896,,0.3350000000000001,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
75000,-118.53205839772852,,0.2875000000000001,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
80000,-83.32749893227454,,0.24,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
85000,-86.93743794346386,,0.1925,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
90000,-45.4411780988133,,0.14500000000000002,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
95000,-33.13060856606455,,0.09750000000000003,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
100000,-34.88825789403896,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
105000,-23.739265695124928,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
110000,-20.182191816675022,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
115000,-18.057064576342853,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
120000,-26.354285177179584,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
125000,72.62460654167145,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
130000,151.43678513129976,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
135000,128.27234088631184,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
140000,134.46653603851672,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
145000,192.42344655672164,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
150000,224.1677648481027,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
155000,227.18210380922682,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
160000,230.130836686683,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
165000,264.5035057874297,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
170000,264.4054476284552,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
175000,235.63813583974462,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
180000,250.02462935977877,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
185000,240.9794187974664,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
190000,266.18701998595634,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
195000,136.06785577215342,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
200000,228.91446588481259,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
205000,249.17468415097045,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
210000,212.81312523581784,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
215000,230.9187428786917,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
220000,196.71346404417804,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
225000,133.14278557068184,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
230000,207.51993942908751,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
235000,277.5871855758825,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
240000,231.38716646477988,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
245000,264.3324822715266,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
250000,267.2668796025982,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
255000,236.51326742743294,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
260000,266.9323130743925,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
265000,264.1744915927221,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
270000,148.1330638609797,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
275000,255.57117116689378,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
280000,242.3471693827888,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
285000,265.41869244318434,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
290000,255.169611454692,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
295000,282.43182545804524,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
300000,239.97215010817567,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
305000,243.96650749950155,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
310000,281.6209512487276,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
315000,278.57196326193406,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
320000,263.17591436123035,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
325000,281.6738255783737,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
330000,217.8810214520291,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
335000,268.81489798896297,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
340000,255.0128955734066,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
345000,280.62959054717965,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
350000,271.7436016325166,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
355000,256.972830811222,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
360000,267.71352200575876,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
365000,269.65969425499486,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
370000,286.21521062697155,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
375000,255.97070828566294,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
380000,277.3719952409309,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
385000,254.351080493737,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
390000,272.522255342636,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
395000,278.7122842058015,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
400000,281.34990866387454,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
405000,282.3676377470068,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
410000,270.48788013510955,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
415000,254.83021717385463,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
420000,275.4480586556705,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
425000,274.6969454736587,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
430000,246.48899377994508,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
435000,249.8962652879255,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
440000,279.6912684084706,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
445000,280.43150032088226,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
450000,249.37111430308764,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
455000,258.986661589106,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
460000,253.15512344706235,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
465000,258.0948658716428,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
470000,206.06789625952106,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
475000,224.01571258258946,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
480000,203.39110124687008,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
485000,201.12010143779472,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
490000,234.02519750112432,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
495000,189.0766939606547,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
500000,272.1349592683416,,0.050000000000000044,1,dqn,500000,10000,100000,256,5000,10,0.5,0.0001,1.0
