step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-338.47034776932117,1.0,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
5000,-338.47034776932117,1.0,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
10000,-337.79047704353695,0.9997000694274902,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
15000,-38.15573894889906,0.273674339056015,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
20000,-51.77465773800155,0.09136351943016052,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
25000,-12.117645670344585,0.08329650014638901,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
30000,-16.78043994060229,0.07302341610193253,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
35000,200.01863037507766,0.06263676285743713,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
40000,159.40859178219756,0.06619291752576828,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
45000,149.7176810751027,0.06330665200948715,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
50000,199.03791538909815,0.0624060295522213,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
55000,225.49454879871345,0.0709146037697792,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
60000,218.59218909380064,0.07417307049036026,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
65000,209.13908530729495,0.06325628608465195,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
70000,189.4128967919926,0.05887347832322121,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
75000,203.34564091156466,0.06141355633735657,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
80000,183.83678240646952,0.06372768431901932,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
85000,203.13790838706967,0.05739196017384529,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
90000,237.154809287838,0.05356498807668686,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
95000,177.36677330955916,0.052697163075208664,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
100000,253.69383913473698,0.050302520394325256,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
105000,261.2573616728757,0.05538497492671013,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
110000,265.6405318680945,0.05425400286912918,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
115000,270.9075015429205,0.05238393321633339,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
120000,278.98869017206584,0.06058864668011665,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
125000,275.4727160683775,0.06405064463615417,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
130000,278.68934918450645,0.06176074966788292,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
135000,264.9709103496939,0.061315327882766724,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
140000,276.24417418446734,0.0642758384346962,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
145000,234.72330794466149,0.0649731382727623,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
150000,265.477339653503,0.06305298209190369,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
155000,267.07288010814875,0.06293678283691406,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
160000,266.035758966338,0.0652841329574585,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
165000,261.1632579483558,0.06524952501058578,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
170000,268.0687871171968,0.061185870319604874,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
175000,260.02100484599634,0.05593059957027435,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
180000,253.548160213715,0.05401139333844185,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
185000,264.87811912434364,0.052632346749305725,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
190000,263.97401808849213,0.05263587459921837,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
195000,269.1055234284564,0.055281493812799454,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
200000,275.15855971680156,0.05151743069291115,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
205000,274.63975770355785,0.05002286657691002,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
210000,274.45192993088085,0.04948430508375168,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
215000,281.83205537648536,0.04935240373015404,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
220000,268.0791348610162,0.04903978481888771,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
225000,280.92858704845753,0.04867258667945862,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
230000,277.5850740303723,0.05295083299279213,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
235000,268.433567205328,0.053457871079444885,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
240000,274.58820194322715,0.05148329585790634,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
245000,276.633140732418,0.04898114874958992,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
250000,267.02183065354643,0.05452759936451912,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
255000,275.0117392926205,0.054984647780656815,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
260000,249.11171433733278,0.05406937375664711,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
265000,274.67498613688997,0.053917765617370605,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
270000,277.1763967891529,0.05121137201786041,1,500000,10000,1000000,256,5000,10,,,,-100.0,default
