step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-338.47034776932117,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
5000,-338.47034776932117,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
10000,-322.0380689225137,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
15000,74.34305219074982,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
20000,70.38820186582518,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
25000,-92.27519398935416,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
30000,39.16192618437977,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
35000,197.52527103332187,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
40000,100.24275940735143,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
45000,308.7370156740224,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
50000,251.05289407972901,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
55000,345.0818129497507,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
60000,215.33756363639776,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
65000,224.83661572882548,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
70000,334.8966721830021,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
75000,426.41613630310405,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
80000,152.41520232557735,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
85000,133.20345299539875,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
90000,127.35760805447649,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
95000,247.24476826906712,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
100000,289.24607657346115,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
105000,297.8439662220534,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
110000,224.22632352076425,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
115000,136.06979093951836,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
120000,333.4370541151218,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
125000,194.9850355363447,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
130000,377.4430796469576,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
135000,304.9404395938835,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
140000,266.7668600552226,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
145000,293.4345922521778,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
150000,375.8641651377059,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
155000,227.87174348894123,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
160000,214.6588342438155,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
165000,300.61470411856317,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
170000,457.34751718924355,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
175000,393.02582149627517,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
180000,363.7720783665225,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
185000,411.9556885257787,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
190000,372.4213030001738,0.009999999776482582,1,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
