step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-338.47034776932117,1.0,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
5000,-338.47034776932117,1.0,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
10000,-336.0615189941891,0.9997000694274902,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
15000,-97.47511431358265,0.26789888739585876,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
20000,-55.1394745077999,0.10692617297172546,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
25000,93.69961410227504,0.13095690310001373,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
30000,46.724641517660146,0.13785314559936523,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
35000,172.7101962106614,0.12526525557041168,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
40000,161.24436863809973,0.11871647089719772,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
45000,48.470816712758285,0.1160004734992981,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
50000,258.19369227805157,0.13335376977920532,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
55000,188.51779803990667,0.12943880259990692,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
60000,320.53531606716984,0.10717161744832993,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
65000,265.36827411572324,0.11372262984514236,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
70000,301.2073955674929,0.11711658537387848,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
75000,316.63202214165966,0.10916895419359207,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
80000,188.70396147454093,0.09685184806585312,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
85000,-273.82777703772143,0.09746389091014862,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
90000,279.59444267605073,0.10024866461753845,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
95000,254.7711536018158,0.09911957383155823,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
100000,236.88573914911754,0.09267156571149826,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
105000,393.3035026867236,0.09019754081964493,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
110000,396.01684504463987,0.08849835395812988,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
115000,289.00089599126744,0.0959516167640686,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
120000,406.3291461758053,0.10209786891937256,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
125000,426.59809249259285,0.1050523892045021,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
130000,416.42491874007874,0.11954840272665024,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
135000,391.55132732415234,0.09854961186647415,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
140000,449.2750945615201,0.1081450879573822,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
145000,319.43505632311275,0.1009623259305954,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
150000,359.06932389911077,0.09181971848011017,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
155000,385.2034249871691,0.08775746077299118,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
160000,432.8246889393692,0.08945303410291672,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
165000,424.3894048700478,0.09336104243993759,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
170000,408.1753201634459,0.10756145417690277,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
175000,448.3097487241906,0.10924777388572693,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
180000,468.62108516942965,0.10071808099746704,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
185000,476.1156737516033,0.10353390872478485,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
190000,437.6928058891651,0.09175478667020798,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
195000,476.2338872908211,0.08588940650224686,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
200000,481.3525685573115,0.07889608293771744,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
205000,477.4049721846939,0.07970687747001648,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
210000,449.39139520310647,0.08193455636501312,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
215000,430.48343166459847,0.08129782974720001,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
220000,377.6286670289951,0.0784921869635582,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
225000,480.79358835994634,0.0802861675620079,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
230000,473.86886987578663,0.07723746448755264,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
235000,476.4351636411654,0.08139581233263016,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
240000,477.7993375224364,0.07751170545816422,1,500000,10000,70000,256,5000,10,,200.0,250000,-100.0,before_switch
