step,eval_avg_return,alpha,epsilon,seed,algo,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,lr,grad_clip_norm,target_entropy_ratio,min_alpha,max_alpha
0,-236.57929537060323,1.0,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
5000,-236.57929537060323,1.0,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
10000,-176.51940683246679,0.9997000694274902,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
15000,-115.7443896359537,0.9182060956954956,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
20000,-99.04191064259899,0.9941728115081787,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
25000,-118.13909250141835,0.9358242750167847,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
30000,-91.76366207791851,0.8676653504371643,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
35000,-56.026136565658135,0.7697576284408569,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
40000,-18.149752192582156,0.601277768611908,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
45000,-19.508565689396118,0.5172339081764221,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
50000,-22.57385957034515,0.47057807445526123,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
55000,-22.391390559170965,0.41811472177505493,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
60000,-24.16263378264187,0.3924490809440613,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
65000,-8.55201057484316,0.3529834747314453,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
70000,-6.039485381248698,0.33800017833709717,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
75000,-4.411871245943759,0.3212167024612427,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
80000,-5.6609323315764115,0.30921632051467896,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
85000,-7.615958768844093,0.30011212825775146,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
90000,-4.864987779800569,0.2874809801578522,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
95000,-3.460093797067531,0.2544582784175873,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
100000,88.84233463761373,0.2535417079925537,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
105000,96.51048179595531,0.21792449057102203,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
110000,137.55784507400793,0.20586158335208893,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
115000,123.0497564385967,0.19510453939437866,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
120000,174.45825475310914,0.18091937899589539,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
125000,192.6920192544427,0.17086364328861237,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
130000,222.61429029485575,0.21684397757053375,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
135000,254.50808141506522,0.2192889004945755,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
140000,232.41100016122377,0.22821862995624542,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
145000,261.84031123047487,0.20037879049777985,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
150000,267.92664055459346,0.19293828308582306,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
155000,236.09328895374733,0.1920778751373291,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
160000,226.88722545924125,0.21140432357788086,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
165000,262.42576273880314,0.21097847819328308,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
170000,254.528873728381,0.22162984311580658,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
175000,264.1111485217208,0.23464064300060272,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
180000,244.5627402542722,0.24930699169635773,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
185000,268.3132668477457,0.2535496652126312,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
190000,271.34456940353624,0.2735305428504944,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
195000,268.09193940938803,0.3000643849372864,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
200000,265.11615472117137,0.3092813491821289,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
205000,273.91910795989355,0.31868425011634827,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
210000,271.5285514447816,0.3316422402858734,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
215000,275.3039942659802,0.3354524075984955,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
220000,272.45139939617104,0.34590423107147217,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
225000,274.2404714448859,0.3331896662712097,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
230000,272.6703131494047,0.3464009165763855,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
235000,272.8456714293813,0.3332691490650177,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
240000,277.8458485768247,0.3339075744152069,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
245000,274.9005575329336,0.33666402101516724,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
250000,278.0772778424738,0.343203604221344,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
255000,276.60547861421566,0.32841742038726807,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
260000,278.14908871328356,0.33747199177742004,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
265000,278.45013868807507,0.32087111473083496,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
270000,278.5075658483752,0.3244544565677643,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
275000,278.120265060125,0.3250959515571594,,12,discrete-sac,500000,10000,100000,256,5000,10,0.0003,,0.5,0.0001,1.0
