step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-201.09442474668543,1.0,12,500000,10000,100000,256,5000,10,,,,-100.0,default
5000,-201.09442474668543,1.0,12,500000,10000,100000,256,5000,10,,,,-100.0,default
10000,-154.35759392198702,0.9997000694274902,12,500000,10000,100000,256,5000,10,,,,-100.0,default
15000,-76.0862197955762,0.2744337022304535,12,500000,10000,100000,256,5000,10,,,,-100.0,default
20000,-30.26376593430419,0.11171378940343857,12,500000,10000,100000,256,5000,10,,,,-100.0,default
25000,-5.113142350940234,0.09996931254863739,12,500000,10000,100000,256,5000,10,,,,-100.0,default
30000,-23.004566788862455,0.098762646317482,12,500000,10000,100000,256,5000,10,,,,-100.0,default
35000,-10.120720136169583,0.06711888313293457,12,500000,10000,100000,256,5000,10,,,,-100.0,default
40000,-33.24841471523381,0.06544516235589981,12,500000,10000,100000,256,5000,10,,,,-100.0,default
45000,-8.15448102934698,0.06318078935146332,12,500000,10000,100000,256,5000,10,,,,-100.0,default
50000,44.85664667595728,0.05502181127667427,12,500000,10000,100000,256,5000,10,,,,-100.0,default
55000,-1.563487791780907,0.049321889877319336,12,500000,10000,100000,256,5000,10,,,,-100.0,default
60000,16.516264036712638,0.047124382108449936,12,500000,10000,100000,256,5000,10,,,,-100.0,default
65000,47.92575702543391,0.04520067572593689,12,500000,10000,100000,256,5000,10,,,,-100.0,default
70000,51.256800815372955,0.04625752568244934,12,500000,10000,100000,256,5000,10,,,,-100.0,default
75000,58.31610948114876,0.05048723891377449,12,500000,10000,100000,256,5000,10,,,,-100.0,default
80000,-0.1341280226814831,0.050191059708595276,12,500000,10000,100000,256,5000,10,,,,-100.0,default
85000,77.71480373402797,0.05346163362264633,12,500000,10000,100000,256,5000,10,,,,-100.0,default
90000,99.1317470890985,0.04931945726275444,12,500000,10000,100000,256,5000,10,,,,-100.0,default
95000,151.46487316732342,0.051050860434770584,12,500000,10000,100000,256,5000,10,,,,-100.0,default
100000,46.17693706197607,0.048945531249046326,12,500000,10000,100000,256,5000,10,,,,-100.0,default
105000,188.16919314094395,0.04649147018790245,12,500000,10000,100000,256,5000,10,,,,-100.0,default
110000,197.88341987834784,0.042204562574625015,12,500000,10000,100000,256,5000,10,,,,-100.0,default
115000,185.08563462843676,0.041226185858249664,12,500000,10000,100000,256,5000,10,,,,-100.0,default
120000,191.84582851801432,0.04322089999914169,12,500000,10000,100000,256,5000,10,,,,-100.0,default
125000,241.87197064089952,0.041335929185152054,12,500000,10000,100000,256,5000,10,,,,-100.0,default
130000,213.4884421894779,0.04856671020388603,12,500000,10000,100000,256,5000,10,,,,-100.0,default
135000,266.5474895820837,0.054673489183187485,12,500000,10000,100000,256,5000,10,,,,-100.0,default
140000,217.2888987283503,0.061567772179841995,12,500000,10000,100000,256,5000,10,,,,-100.0,default
145000,280.9035099704592,0.059936631470918655,12,500000,10000,100000,256,5000,10,,,,-100.0,default
150000,267.8579141800657,0.058019254356622696,12,500000,10000,100000,256,5000,10,,,,-100.0,default
155000,270.9561848826646,0.05417270213365555,12,500000,10000,100000,256,5000,10,,,,-100.0,default
160000,265.56611390263487,0.05355391651391983,12,500000,10000,100000,256,5000,10,,,,-100.0,default
165000,261.4194275556023,0.05207429453730583,12,500000,10000,100000,256,5000,10,,,,-100.0,default
170000,274.80668735090063,0.053416695445775986,12,500000,10000,100000,256,5000,10,,,,-100.0,default
175000,264.4603923968898,0.04740343615412712,12,500000,10000,100000,256,5000,10,,,,-100.0,default
180000,276.08676292216194,0.04683259502053261,12,500000,10000,100000,256,5000,10,,,,-100.0,default
185000,279.59477721987946,0.045339781790971756,12,500000,10000,100000,256,5000,10,,,,-100.0,default
190000,276.97295361770324,0.04871838912367821,12,500000,10000,100000,256,5000,10,,,,-100.0,default
195000,278.7217710905828,0.05019346624612808,12,500000,10000,100000,256,5000,10,,,,-100.0,default
200000,248.06704570939732,0.04826027527451515,12,500000,10000,100000,256,5000,10,,,,-100.0,default
205000,266.22118010652247,0.043850064277648926,12,500000,10000,100000,256,5000,10,,,,-100.0,default
210000,267.67027646554095,0.04384145885705948,12,500000,10000,100000,256,5000,10,,,,-100.0,default
215000,234.68590280595603,0.03976799547672272,12,500000,10000,100000,256,5000,10,,,,-100.0,default
220000,227.50370795213865,0.03910999745130539,12,500000,10000,100000,256,5000,10,,,,-100.0,default
225000,276.31492975375767,0.04044181481003761,12,500000,10000,100000,256,5000,10,,,,-100.0,default
230000,278.92076963333915,0.03914119303226471,12,500000,10000,100000,256,5000,10,,,,-100.0,default
235000,279.82427393161225,0.04078151658177376,12,500000,10000,100000,256,5000,10,,,,-100.0,default
240000,282.10502493376515,0.03842785581946373,12,500000,10000,100000,256,5000,10,,,,-100.0,default
245000,279.533791898996,0.03666875511407852,12,500000,10000,100000,256,5000,10,,,,-100.0,default
250000,281.3269813538031,0.03677360713481903,12,500000,10000,100000,256,5000,10,,,,-100.0,default
255000,279.6881929288339,0.03379952162504196,12,500000,10000,100000,256,5000,10,,,,-100.0,default
260000,281.3113336830837,0.03636493533849716,12,500000,10000,100000,256,5000,10,,,,-100.0,default
265000,278.5463159053087,0.03566355258226395,12,500000,10000,100000,256,5000,10,,,,-100.0,default
270000,281.00753519389315,0.03456806391477585,12,500000,10000,100000,256,5000,10,,,,-100.0,default
275000,240.74015925119292,0.03352203220129013,12,500000,10000,100000,256,5000,10,,,,-100.0,default
280000,277.5017214358965,0.032897695899009705,12,500000,10000,100000,256,5000,10,,,,-100.0,default
285000,278.6253808311427,0.034978870302438736,12,500000,10000,100000,256,5000,10,,,,-100.0,default
290000,275.86768231854154,0.034228235483169556,12,500000,10000,100000,256,5000,10,,,,-100.0,default
295000,280.45087926065514,0.03267553076148033,12,500000,10000,100000,256,5000,10,,,,-100.0,default
300000,276.824014470623,0.03783207759261131,12,500000,10000,100000,256,5000,10,,,,-100.0,default
305000,276.8031766836251,0.03866356983780861,12,500000,10000,100000,256,5000,10,,,,-100.0,default
310000,282.37436074060525,0.03543227165937424,12,500000,10000,100000,256,5000,10,,,,-100.0,default
315000,282.3206227251347,0.03632356598973274,12,500000,10000,100000,256,5000,10,,,,-100.0,default
320000,280.2793428167027,0.03496672213077545,12,500000,10000,100000,256,5000,10,,,,-100.0,default
325000,278.2752016433744,0.03434498608112335,12,500000,10000,100000,256,5000,10,,,,-100.0,default
330000,270.9607735325536,0.03410803899168968,12,500000,10000,100000,256,5000,10,,,,-100.0,default
335000,278.4317195613203,0.03507983312010765,12,500000,10000,100000,256,5000,10,,,,-100.0,default
340000,276.2767224171219,0.034333810210227966,12,500000,10000,100000,256,5000,10,,,,-100.0,default
345000,279.6104178496039,0.032706230878829956,12,500000,10000,100000,256,5000,10,,,,-100.0,default
350000,282.69682493771995,0.03272559121251106,12,500000,10000,100000,256,5000,10,,,,-100.0,default
355000,279.32127249168485,0.03449930623173714,12,500000,10000,100000,256,5000,10,,,,-100.0,default
360000,279.8078865017586,0.03545355796813965,12,500000,10000,100000,256,5000,10,,,,-100.0,default
365000,282.98425330572024,0.03530937805771828,12,500000,10000,100000,256,5000,10,,,,-100.0,default
370000,280.8803355572688,0.03467732295393944,12,500000,10000,100000,256,5000,10,,,,-100.0,default
375000,272.52242598251945,0.03576361760497093,12,500000,10000,100000,256,5000,10,,,,-100.0,default
380000,275.7860920460859,0.03365757316350937,12,500000,10000,100000,256,5000,10,,,,-100.0,default
385000,277.7987534312553,0.03378624469041824,12,500000,10000,100000,256,5000,10,,,,-100.0,default
390000,281.0223423597186,0.033962883055210114,12,500000,10000,100000,256,5000,10,,,,-100.0,default
395000,278.7573997971716,0.03584397956728935,12,500000,10000,100000,256,5000,10,,,,-100.0,default
400000,277.7991954176784,0.03637801110744476,12,500000,10000,100000,256,5000,10,,,,-100.0,default
405000,277.06308802859303,0.0353861004114151,12,500000,10000,100000,256,5000,10,,,,-100.0,default
410000,277.09912717416717,0.03538981452584267,12,500000,10000,100000,256,5000,10,,,,-100.0,default
415000,283.31217087533906,0.03562458977103233,12,500000,10000,100000,256,5000,10,,,,-100.0,default
420000,281.75240546951153,0.0355176217854023,12,500000,10000,100000,256,5000,10,,,,-100.0,default
425000,278.0765821564922,0.032853513956069946,12,500000,10000,100000,256,5000,10,,,,-100.0,default
430000,280.2697763173594,0.03190242126584053,12,500000,10000,100000,256,5000,10,,,,-100.0,default
435000,281.33442066045984,0.0344417542219162,12,500000,10000,100000,256,5000,10,,,,-100.0,default
440000,281.28884113080824,0.03354484215378761,12,500000,10000,100000,256,5000,10,,,,-100.0,default
445000,278.7629974354907,0.03460320085287094,12,500000,10000,100000,256,5000,10,,,,-100.0,default
450000,284.5194154545442,0.03304288536310196,12,500000,10000,100000,256,5000,10,,,,-100.0,default
455000,282.2024736915904,0.032373715192079544,12,500000,10000,100000,256,5000,10,,,,-100.0,default
460000,277.62261890967727,0.03368860483169556,12,500000,10000,100000,256,5000,10,,,,-100.0,default
465000,274.213167814346,0.03513716161251068,12,500000,10000,100000,256,5000,10,,,,-100.0,default
470000,226.05386436356957,0.03330138325691223,12,500000,10000,100000,256,5000,10,,,,-100.0,default
475000,280.05529860171555,0.03398958221077919,12,500000,10000,100000,256,5000,10,,,,-100.0,default
480000,281.4643302257117,0.035589367151260376,12,500000,10000,100000,256,5000,10,,,,-100.0,default
485000,278.8836448840045,0.034168731421232224,12,500000,10000,100000,256,5000,10,,,,-100.0,default
490000,276.5662260786565,0.03402305021882057,12,500000,10000,100000,256,5000,10,,,,-100.0,default
495000,283.46486527311333,0.031860221177339554,12,500000,10000,100000,256,5000,10,,,,-100.0,default
500000,282.38694486335544,0.03147875517606735,12,500000,10000,100000,256,5000,10,,,,-100.0,default
