step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-58.84361969302374,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
5000,-58.84361969302374,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
10000,-80.34444912478959,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
15000,-67.56947016439219,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
20000,15.53656799536492,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
25000,-118.0150014613153,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
30000,22.446522867296082,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
35000,99.15788626821555,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
40000,103.87830863844242,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
45000,38.31003488494001,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
50000,14.964338892818708,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
55000,-14.069801493758728,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
60000,70.20985287078415,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
65000,141.835696595568,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
70000,65.94837658335037,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
75000,136.13710860296231,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
80000,137.6003755329774,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
85000,114.92653654516717,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
90000,93.59959354549643,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
95000,138.70643173688632,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
100000,30.972279461372274,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
105000,133.4063931646809,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
110000,97.99393331076516,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
115000,168.3054101361065,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
120000,191.97357424657324,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
125000,105.94689257984776,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
130000,184.44119206951945,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
135000,61.78067500369173,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
140000,4.69133259738779,0.009999999776482582,9,500000,10000,100000,256,5000,10,0.01,200.0,250000,-100.0,before_switch
